min_cluster_size,min_samples,cluster_selection_method,metric,algorithm,alpha,silhouette,davies_bouldin,calinski_harabasz,validity_index,coverage,total_clusters,cluster_sizes
20,20,eom,euclidean,best,0.5,0.0026917183,1.9977755651220073,4179.130092355365,0.26828577653524577,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
20,20,eom,euclidean,best,2.0,0.0026917183,1.9977755651220073,4179.130092355365,0.26828577653524577,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
20,20,eom,manhattan,best,0.5,-0.004347925,1.952489801649707,4411.955093004149,0.7540213169224116,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
20,20,eom,manhattan,best,2.0,-0.004347925,1.952489801649707,4411.955093004149,0.7540213169224116,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
50,1,eom,euclidean,best,0.5,-0.09359278,1.8968147365679977,907.7285764699322,0.17921687982722806,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
50,1,eom,euclidean,best,2.0,-0.09359278,1.8968147365679977,907.7285764699322,0.17921687982722806,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
50,1,eom,manhattan,best,0.5,0.01007254,1.373163386901831,19418.40621445929,0.10088273111086507,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
50,1,eom,manhattan,best,2.0,0.01007254,1.373163386901831,19418.40621445929,0.10088273111086507,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
50,2,eom,euclidean,best,0.5,-0.1460225,2.219410360479605,698.4466631073859,0.17628902312787847,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
50,2,eom,euclidean,best,2.0,-0.1460225,2.219410360479605,698.4466631073859,0.17628902312787847,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
50,2,eom,manhattan,best,0.5,0.006139033,1.3640216225747017,19370.95117703748,0.0941853060273067,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
50,2,eom,manhattan,best,2.0,0.006139033,1.3640216225747017,19370.95117703748,0.0941853060273067,1.0,6,"[16236, 42750, 56, 12, 10, 9]"
